Id Sankce,ID kontroly,Vyse pokuty,Zakon
100902,101508248701101,1000,zak. 64/1986
100903,101410300009401,2000,zak. 634/1992
100905,211508260043801,2000,zak. 634/1992
100907,311508270602001,1000,zak. 634/1992
100909,241508270405901,1000,zak. 634/1992
100911,251508270054701,2000,zak. 634/1992
100913,221508270023901,3000,Nař. 1007/2011
100913,221508270023901,3000,zak. 634/1992
100915,221508270253802,1500,zak. 634/1992
100917,271508270043901,1000,zak. 634/1992
100919,221508270016401,1000,zak. 634/1992
100921,101508270052803,1000,zak. 634/1992
100923,301508270036702,1000,zak. 634/1992
100925,101508270009402,3000,zak. 634/1992
100927,211508270010301,1000,zak. 634/1992
100929,211508270019901,1000,zak. 634/1992
100930,241502119405701,60000,zak. 634/1992
100932,241508220406001,2000,zak. 22/1997
100932,241508220406001,2000,zak. 634/1992
100934,241508220406002,2000,zak. 102/2001
100935,301508270702802,1000,zak. 634/1992
100937,211508270104902,1000,zak. 634/1992
100939,401508220004501,1000,zak. 634/1992
100940,271507140043901,3000,Nař. 1007/2011
100940,271507140043901,3000,zak. 634/1992
100942,101508270011302,1000,zak. 634/1992
100947,221508280253402,1000,zak. 102/2001
100948,221406190253801,60000,Nař. 1007/2011
100948,221406190253801,60000,zak. 634/1992
100949,221406190253801,20000,zak. 22/1997
100950,401506100034801,1000,zak. 64/1986
100951,221408280020801,5000,zak. 255/2012
100954,221408150028701,5000,zak. 634/1992
100956,221408150028701,2000,zak. 102/2001
100957,221408150028701,5000,zak. 255/2012
100958,221406170020801,5000,zak. 477/2001
100959,221412040251801,50000,zak. 634/1992
100960,241502120027903,15000,zak. 634/1992
100961,221412040023801,3000,zak. 634/1992
100963,211508280104901,5000,zak. 634/1992
100964,221405260029901,2000,zak. 634/1992
100965,241502180405401,1000,zak. 634/1992
100966,221405150034501,20000,Nař. 1007/2011
100966,221405150034501,20000,zak. 634/1992
100967,221405150034501,10000,zak. 22/1997
100968,221411010051003,50000,zak. 634/1992
100969,221411010051003,10000,zak. 255/2012
100970,221412080025002,10000,zak. 634/1992
100971,221412080025001,15000,zak. 634/1992
100972,221506190025002,5000,zak. 259/2014
100973,221407280023801,10000,zak. 22/1997
100975,241508280405301,2000,zak. 634/1992
100977,221501140020801,10000,Nař. 1007/2011
100977,221501140020801,10000,zak. 634/1992
100978,221412020028701,6000,zak. 634/1992
100980,241508280403802,1000,zak. 634/1992
100983,241508280405901,1000,zak. 634/1992
100985,311508280602001,1000,zak. 634/1992
100986,221505050043501,50000,zak. 634/1992
100990,211508280009901,1500,zak. 634/1992
